time,signal
1,530
2,518
3,506
4,494
5,483
6,472
7,462
8,454
9,446
10,440
11,434
12,430
13,428
14,430
15,430
16,432
17,436
18,439
19,444
20,450
21,454
22,459
23,465
24,470
25,475
26,481
27,487
28,490
29,494
30,497
31,500
32,502
33,504
34,505
35,507
36,506
37,504
38,504
39,503
40,502
41,500
42,499
43,498
44,496
45,495
46,493
47,491
48,488
49,488
50,487
51,490
52,491
53,500
54,515
55,538
56,567
57,603
58,640
59,677
60,714
61,745
62,772
63,788
64,795
65,795
66,783
67,765
68,740
69,712
70,677
71,641
72,605
73,568
74,535
75,503
76,474
77,450
78,430
79,414
80,401
81,393
82,388
83,385
84,385
85,388
86,393
87,401
88,412
89,426
90,440
91,455
92,473
93,491
94,509
95,523
96,537
97,549
98,558
99,564
100,565
101,565
102,561
103,556
104,548
105,540
106,531
107,519
108,508
109,497
110,486
111,475
112,465
113,457
114,450
115,444
116,438
117,435
118,432
119,431
120,431
121,432
122,434
123,438
124,441
125,445
126,450
127,454
128,460
129,466
130,471
131,477
132,483
133,487
134,491
135,493
136,496
137,500
138,501
139,502
140,504
141,505
142,504
143,503
144,502
145,501
146,499
147,498
148,496
149,495
150,492
151,492
152,490
153,490
154,490
155,497
156,510
157,530
158,559
159,593
160,630
161,667
162,703
163,735
164,759
165,774
166,782
167,781
168,771
169,753
170,728
171,700
172,668
173,632
174,597
175,562
176,528
177,497
178,470
179,446
180,426
181,411
182,399
183,389
184,385
185,382
186,383
187,386
188,391
189,398
190,407
191,420
192,433
193,450
194,469
195,487
196,504
197,521
198,537
199,550
200,560
201,569
202,573
203,571
204,569
205,563
206,556
207,544
208,533
209,521
210,509
211,496
212,485
213,475
214,466
215,456
216,449
217,442
218,436
219,433
220,430
221,428
222,429
223,428
224,431
225,436
226,441
227,447
228,452
229,457
230,462
231,466
232,471
233,478
234,483
235,487
236,491
237,494
238,497
239,499
240,501
241,503
242,504
243,505
244,504
245,504
246,503
247,501
248,500
249,498
250,497
251,496
252,498
253,502
254,512
255,530
256,554
257,585
258,618
259,651
260,684
261,715
262,739
263,756
264,767
265,768
266,762
267,749
268,728
269,704
270,673
271,641
272,608
273,574
274,540
275,509
276,480
277,455
278,433
279,416
280,403
281,391
282,385
283,379
284,378
285,378
286,382
287,390
288,399
289,413
290,428
291,446
292,464
293,482
294,501
295,521
296,537
297,550
298,562
299,569
300,574
301,574
302,572
303,567
304,559
305,548
306,537
307,523
308,510
309,496
310,485
311,474
312,463
313,452
314,445
315,438
316,433
317,431
318,428
319,429
320,428
321,430
322,433
323,436
324,440
325,445
326,450
327,455
328,462
329,468
330,474
331,481
332,486
333,490
334,496
335,500
336,504
337,506
338,508
339,508
340,508
341,508
342,509
343,507
344,505
345,503
346,499
347,498
348,497
349,501
350,508
351,520
352,542
353,570
354,605
355,642
356,679
357,714
358,745
359,768
360,785
361,794
362,793
363,783
364,766
365,744
366,715
367,683
368,647
369,613
370,578
371,544
372,513
373,485
374,460
375,441
376,425
377,413
378,403
379,399
380,396
381,395
382,397
383,402
384,409
385,419
386,428
387,441
388,455
389,470
390,484
391,500
392,513
393,527
394,536
395,544
396,549
397,550
398,551
399,548
400,543
401,537
402,529
403,521
404,511
405,501
406,489
407,481
408,471
409,463
410,455
411,448
412,444
413,439
414,437
415,435
416,432
417,433
418,433
419,436
420,439
421,443
422,448
423,452
424,457
425,462
426,467
427,473
428,477
429,482
430,487
431,491
432,494
433,497
434,498
435,499
436,500
437,500
438,499
439,500
440,498
441,498
442,497
443,495
444,494
445,492
446,491
447,490
448,489
449,492
450,500
451,515
452,538
453,569
454,604
455,643
456,681
457,716
458,747
459,770
460,785
461,790
462,788
463,777
464,758
465,734
466,704
467,671
468,636
469,601
470,567
471,533
472,503
473,476
474,453
475,435
476,419
477,409
478,401
479,397
480,395
481,395
482,397
483,402
484,409
485,418
486,429
487,443
488,458
489,473
490,489
491,504
492,519
493,532
494,543
495,549
496,554
497,556
498,553
499,550
500,544
501,537
502,527
503,517
504,506
505,496
506,485
507,475
508,467
509,458
510,451
511,445
512,440
513,437
514,436
515,435
516,436
517,437
518,438
519,441
520,444
521,447
522,452
523,457
524,462
525,467
526,471
527,477
528,482
529,485
530,489
531,493
532,497
533,500
534,501
535,502
536,503
537,502
538,502
539,501
540,500
541,499
542,498
543,497
544,496
545,494
546,493
547,491
548,488
549,487
550,484
551,483
552,482
553,481
554,486
555,493
556,509
557,532
558,565
559,602
560,641
561,682
562,720
563,753
564,777
565,794
566,802
567,800
568,789
569,770
570,745
571,714
572,680
573,643
574,607
575,572
576,537
577,505
578,477
579,454
580,433
581,417
582,407
583,399
584,393
585,392
586,391
587,394
588,398
589,405
590,416
591,428
592,442
593,458
594,475
595,492
596,507
597,521
598,536
599,545
600,552
601,557
602,561
603,560
604,556
605,549
606,541
607,532
608,520
609,510
610,498
611,487
612,477
613,467
614,458
615,450
616,443
617,438
618,435
619,433
620,432
621,431
622,432
623,433
624,437
625,441
626,446
627,450
628,455
629,462
630,467
631,472
632,479
633,483
634,488
635,492
636,496
637,498
638,499
639,500
640,500
641,500
642,500
643,498
644,498
645,497
646,496
647,495
648,493
649,494
650,493
651,491
652,492
653,491
654,490
655,490
656,488
657,486
658,482
659,480
660,479
661,477
662,479
663,482
664,491
665,506
666,532
667,565
668,605
669,645
670,687
671,726
672,759
673,786
674,803
675,810
676,809
677,797
678,777
679,751
680,720
681,682
682,645
683,605
684,567
685,531
686,498
687,471
688,446
689,426
690,411
691,400
692,390
693,386
694,383
695,385
696,387
697,393
698,401
699,413
700,426
701,440
702,457
703,475
704,491
705,509
706,523
707,539
708,550
709,557
710,562
711,563
712,560
713,556
714,550
715,542
716,531
717,519
718,507
719,496
720,484
721,473
722,464
723,456
724,448
725,441
726,436
727,433
728,430
729,429
730,429
731,429
732,431
733,434
734,439
735,444
736,449
737,455
738,461
739,467
740,473
741,479
742,486
743,490
744,492
745,496
746,498
747,499
748,501
749,502
750,502
751,501
752,501
753,500
754,499
755,497
756,495
757,494
758,491
759,491
760,489
761,492
762,498
763,509
764,529
765,555
766,589
767,627
768,664
769,701
770,733
771,759
772,778
773,787
774,788
775,781
776,764
777,743
778,713
779,679
780,644
781,607
782,570
783,535
784,502
785,473
786,446
787,425
788,407
789,394
790,384
791,377
792,374
793,373
794,376
795,381
796,387
797,397
798,410
799,426
800,444
801,461
802,480
